Timestamp(s) KE PE
8.91 7.2592534 8.5581312
8.92 7.7242947 8.0930177
8.93 8.2037805 7.6134596
8.94 8.697711 7.119457
8.95 9.206086 6.6110098
8.96 9.7289055 6.088118
8.97 10.26617 5.5507816
8.98 10.817878 4.9990008
8.99 11.384032 4.4327753
9 11.964629 3.8521053
9.01 12.559672 3.2569907
9.02 13.169159 2.6474316
9.03 12.815284 2.9938338
9.04 12.214142 3.5949036
9.05 11.627445 4.1815288
9.06 11.055192 4.7537095
9.07 10.497384 5.3114456
9.08 9.95402 5.8547371
9.09 9.4251007 6.3835841
9.1 8.9106261 6.8979866
9.11 8.410596 7.3979444
9.12 7.9250105 7.8834577
9.13 7.4538695 8.3545265
9.14 6.9971731 8.8111507
9.15 6.5549213 9.2533303
9.16 6.127114 9.6810653
9.17 5.7137513 10.094356
9.18 5.3148331 10.493202
9.19 4.9303595 10.877603
9.2 4.5603305 11.24756
9.21 4.204746 11.603072
9.22 3.8636061 11.94414
9.23 3.5369107 12.270763
9.24 3.2246599 12.582942
9.25 2.9268537 12.880676
9.26 2.643492 13.163965
9.27 2.3745749 13.43281
9.28 2.1201024 13.68721
9.29 1.8800744 13.927166
9.3 1.654491 14.152677
9.31 1.4433521 14.363744
9.32 1.2466578 14.560366
9.33 1.0644081 14.742543
